question_text,option1,option2,option3,option4,correct_option
What is the capital of France?,Paris,London,Berlin,Madrid,1
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,2
"Who wrote ""Romeo and Juliet""?",William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1
What is the chemical symbol for water?,O2,H2O,CO2,NaCl,2
Which is the largest continent?,Africa,Antarctica,Asia,Europe,3
What is the powerhouse of the cell?,Nucleus,Cell wall,Chloroplast,Mitochondria,4
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Claude Monet,Vincent van Gogh,1
What is the square root of 64?,6,7,8,9,3
What is the boiling point of water in Celsius?,50,,150,200,2
Which gas do plants primarily use during photosynthesis?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,3
What is the capital of Italy?,Rome,Venice,Florence,Milan,1
Which element's chemical symbol is 'Au'?,Silver,Gold,Copper,Iron,2
What is the largest planet in our Solar System?,Earth,Jupiter,Saturn,Neptune,2
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
What is the longest river in the world?,Amazon River,Ganges,Nile,Yangtze,3
Which country is known as the Land of the Rising Sun?,China,Thailand,South Korea,Japan,4
What is the freezing point of water in Celsius?,0,10,-5,32,1
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Guglielmo Marconi,2
What is the capital of Germany?,Munich,Berlin,Frankfurt,Hamburg,2
What is the square of 12?,134,122,144,132,3
Which organ pumps blood in the human body?,Lungs,Liver,Heart,Kidney,3
"Which is stronger, bronze or iron?",Bronze,Iron,Equal,Depends,2
Which gas is the most abundant in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,2
Who was known as the Iron Lady?,Queen Victoria,Angela Merkel,Indira Gandhi,Margaret Thatcher,4
How many continents are there?,5,6,7,8,3
What is the speed of light?,"200,000 km/s","400,000 km/s","300,000 km/s","500,000 km/s",3
Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic,2
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Donatello,1
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,3
What is the chemical symbol for Sodium?,S,Na,N,So,2
What is the smallest prime number?,1,2,3,0,2
What is the nearest star to Earth?,Proxima Centauri,Sun,Alpha Centauri,Sirius,2
What is the capital of Russia?,Moscow,St. Petersburg,Kazan,Novosibirsk,1
What does DNA stand for?,Deoxyribonucleic Acid,Ribonucleic Acid,Nitric Acid,Amino Acid,1
Which is the third planet from the Sun?,Venus,Earth,Mars,Mercury,2
What is the national bird of the USA?,Bald Eagle,Golden Eagle,Pigeon,Sparrow,1
